time_s	lane_id	generated_tokens	phase
0.000	qwen36-27b-dflash-pflash	0	prefill_or_compress
0.000	qwen36-27b-baseline	0	prefill_or_compress
0.000	qwen36-35b-a3b-dynamic-strix	0	prefill_or_compress
0.000	mistral-small-4-119b-ud-q4km	0	prefill_or_compress
0.000	gemma4-26b-a4b-q4km-gemma-bin	0	prefill_or_compress
0.000	gemma4-e2b-q4km-gemma-bin	0	prefill_or_compress
2.000	qwen36-27b-dflash-pflash	0	prefill_or_compress
2.000	qwen36-27b-baseline	0	prefill_or_compress
2.000	qwen36-35b-a3b-dynamic-strix	0	prefill_or_compress
2.000	mistral-small-4-119b-ud-q4km	0	prefill_or_compress
2.000	gemma4-26b-a4b-q4km-gemma-bin	0	prefill_or_compress
2.000	gemma4-e2b-q4km-gemma-bin	0	prefill_or_compress
4.000	qwen36-27b-dflash-pflash	0	prefill_or_compress
4.000	qwen36-27b-baseline	0	prefill_or_compress
4.000	qwen36-35b-a3b-dynamic-strix	0	prefill_or_compress
4.000	mistral-small-4-119b-ud-q4km	0	prefill_or_compress
4.000	gemma4-26b-a4b-q4km-gemma-bin	0	prefill_or_compress
4.000	gemma4-e2b-q4km-gemma-bin	0	prefill_or_compress
6.000	qwen36-27b-dflash-pflash	0	prefill_or_compress
6.000	qwen36-27b-baseline	0	prefill_or_compress
6.000	qwen36-35b-a3b-dynamic-strix	0	prefill_or_compress
6.000	mistral-small-4-119b-ud-q4km	0	prefill_or_compress
6.000	gemma4-26b-a4b-q4km-gemma-bin	0	prefill_or_compress
6.000	gemma4-e2b-q4km-gemma-bin	0	prefill_or_compress
8.000	qwen36-27b-dflash-pflash	0	prefill_or_compress
8.000	qwen36-27b-baseline	0	prefill_or_compress
8.000	qwen36-35b-a3b-dynamic-strix	0	prefill_or_compress
8.000	mistral-small-4-119b-ud-q4km	0	prefill_or_compress
8.000	gemma4-26b-a4b-q4km-gemma-bin	0	prefill_or_compress
8.000	gemma4-e2b-q4km-gemma-bin	89	decode
10.000	qwen36-27b-dflash-pflash	0	prefill_or_compress
10.000	qwen36-27b-baseline	0	prefill_or_compress
10.000	qwen36-35b-a3b-dynamic-strix	0	prefill_or_compress
10.000	mistral-small-4-119b-ud-q4km	0	prefill_or_compress
10.000	gemma4-26b-a4b-q4km-gemma-bin	0	prefill_or_compress
10.000	gemma4-e2b-q4km-gemma-bin	258	decode
12.000	qwen36-27b-dflash-pflash	0	prefill_or_compress
12.000	qwen36-27b-baseline	0	prefill_or_compress
12.000	qwen36-35b-a3b-dynamic-strix	0	prefill_or_compress
12.000	mistral-small-4-119b-ud-q4km	0	prefill_or_compress
12.000	gemma4-26b-a4b-q4km-gemma-bin	0	prefill_or_compress
12.000	gemma4-e2b-q4km-gemma-bin	427	decode
14.000	qwen36-27b-dflash-pflash	0	prefill_or_compress
14.000	qwen36-27b-baseline	0	prefill_or_compress
14.000	qwen36-35b-a3b-dynamic-strix	0	prefill_or_compress
14.000	mistral-small-4-119b-ud-q4km	0	prefill_or_compress
14.000	gemma4-26b-a4b-q4km-gemma-bin	11	decode
14.000	gemma4-e2b-q4km-gemma-bin	596	decode
16.000	qwen36-27b-dflash-pflash	32	decode
16.000	qwen36-27b-baseline	0	prefill_or_compress
16.000	qwen36-35b-a3b-dynamic-strix	41	decode
16.000	mistral-small-4-119b-ud-q4km	0	prefill_or_compress
