time_s	pflash_generated	baseline_generated	pflash_phase	baseline_phase
0.000	0	0	compress_prefill	prefill
5.000	0	0	compress_prefill	prefill
10.000	0	0	compress_prefill	prefill
15.000	50	0	decode	prefill
20.000	134	0	decode	prefill
25.000	219	0	decode	prefill
30.000	304	0	decode	prefill
35.000	389	0	decode	prefill
40.000	473	0	decode	prefill
45.000	558	0	decode	prefill
50.000	643	0	decode	prefill
55.000	728	0	decode	prefill
60.000	813	20	decode	decode
65.000	897	80	decode	decode
70.000	982	140	decode	decode
75.000	1067	200	decode	decode
80.000	1152	261	decode	decode
85.000	1236	321	decode	decode
90.000	1321	381	decode	decode
95.000	1406	441	decode	decode
100.000	1491	501	decode	decode
105.000	1575	562	decode	decode
110.000	1660	622	decode	decode
115.000	1745	682	decode	decode
120.000	1830	742	decode	decode
125.000	1914	802	decode	decode
130.000	1999	863	decode	decode
135.000	2084	923	decode	decode
140.000	2169	983	decode	decode
145.000	2253	1043	decode	decode
150.000	2338	1103	decode	decode
155.000	2423	1164	decode	decode
160.000	2508	1224	decode	decode
165.000	2592	1284	decode	decode
170.000	2677	1344	decode	decode
175.000	2762	1405	decode	decode
180.000	2847	1465	decode	decode
185.000	2931	1525	decode	decode
190.000	3016	1585	decode	decode
195.000	3101	1645	decode	decode
200.000	3186	1706	decode	decode
205.000	3270	1766	decode	decode
210.000	3355	1826	decode	decode
215.000	3440	1886	decode	decode
220.000	3525	1946	decode	decode
225.000	3609	2007	decode	decode
230.000	3694	2067	decode	decode
235.000	3779	2127	decode	decode
240.000	3864	2187	decode	decode
245.000	3948	2247	decode	decode
250.000	4033	2308	decode	decode
255.000	4118	2368	decode	decode
260.000	4203	2428	decode	decode
265.000	4287	2488	decode	decode
270.000	4372	2549	decode	decode
275.000	4457	2609	decode	decode
280.000	4542	2669	decode	decode
285.000	4626	2729	decode	decode
290.000	4711	2789	decode	decode
295.000	4796	2850	decode	decode
300.000	4881	2910	decode	decode
305.000	4965	2970	decode	decode
310.000	5050	3030	decode	decode
315.000	5135	3090	decode	decode
320.000	5220	3151	decode	decode
325.000	5304	3211	decode	decode
330.000	5389	3271	decode	decode
335.000	5474	3331	decode	decode
340.000	5559	3392	decode	decode
345.000	5643	3452	decode	decode
350.000	5728	3512	decode	decode
355.000	5813	3572	decode	decode
360.000	5898	3632	decode	decode
365.000	5982	3693	decode	decode
370.000	6067	3753	decode	decode
375.000	6152	3813	decode	decode
380.000	6237	3873	decode	decode
385.000	6321	3933	decode	decode
390.000	6406	3994	decode	decode
395.000	6491	4054	decode	decode
400.000	6576	4114	decode	decode
405.000	6660	4174	decode	decode
410.000	6745	4234	decode	decode
415.000	6830	4295	decode	decode
420.000	6915	4355	decode	decode
425.000	7000	4415	decode	decode
430.000	7084	4475	decode	decode
435.000	7169	4536	decode	decode
440.000	7254	4596	decode	decode
445.000	7339	4656	decode	decode
450.000	7423	4716	decode	decode
455.000	7508	4776	decode	decode
460.000	7593	4837	decode	decode
465.000	7678	4897	decode	decode
470.000	7762	4957	decode	decode
475.000	7847	5017	decode	decode
480.000	7932	5077	decode	decode
485.000	8017	5138	decode	decode
490.000	8101	5198	decode	decode
495.000	8186	5258	decode	decode
500.000	8192	5318	done	decode
505.000	8192	5378	done	decode
510.000	8192	5439	done	decode
515.000	8192	5499	done	decode
520.000	8192	5559	done	decode
525.000	8192	5619	done	decode
530.000	8192	5680	done	decode
535.000	8192	5740	done	decode
540.000	8192	5800	done	decode
545.000	8192	5860	done	decode
550.000	8192	5920	done	decode
555.000	8192	5981	done	decode
560.000	8192	6041	done	decode
565.000	8192	6101	done	decode
570.000	8192	6161	done	decode
575.000	8192	6221	done	decode
580.000	8192	6282	done	decode
585.000	8192	6342	done	decode
590.000	8192	6402	done	decode
595.000	8192	6462	done	decode
600.000	8192	6522	done	decode
605.000	8192	6583	done	decode
610.000	8192	6643	done	decode
615.000	8192	6703	done	decode
620.000	8192	6763	done	decode
625.000	8192	6824	done	decode
630.000	8192	6884	done	decode
635.000	8192	6944	done	decode
640.000	8192	7004	done	decode
645.000	8192	7064	done	decode
650.000	8192	7125	done	decode
655.000	8192	7185	done	decode
660.000	8192	7245	done	decode
665.000	8192	7305	done	decode
670.000	8192	7365	done	decode
675.000	8192	7426	done	decode
680.000	8192	7486	done	decode
685.000	8192	7546	done	decode
690.000	8192	7606	done	decode
695.000	8192	7667	done	decode
700.000	8192	7727	done	decode
705.000	8192	7787	done	decode
710.000	8192	7847	done	decode
715.000	8192	7907	done	decode
720.000	8192	7968	done	decode
725.000	8192	8028	done	decode
730.000	8192	8088	done	decode
735.000	8192	8148	done	decode
740.000	8192	8192	done	done
