bucket,label,model_file,target_context,prompt_tokens,prefill_tps,generation_tps,ttfp_seconds,draft_acceptance_rate,peak_vram_gib_context,vram_delta_gib_context,peak_gtt_gib_context,gtt_delta_gib_context
IQ1,qwen36-35b-mtp-iq1m,Qwen3.6-35B-A3B-UD-IQ1_M.gguf,2048,2067,861.724,122.805,2.401433,0.97688,17.223,16.163,4.331,3.227
IQ1,qwen36-35b-mtp-iq1m,Qwen3.6-35B-A3B-UD-IQ1_M.gguf,8192,8220,889.727,120.078,9.247313,0.99415,17.223,16.163,4.331,3.227
IQ1,qwen36-35b-mtp-iq1m,Qwen3.6-35B-A3B-UD-IQ1_M.gguf,32768,32745,727.131,101.433,45.061693,0.99123,17.223,16.163,4.331,3.227
IQ1,qwen36-35b-mtp-iq1m,Qwen3.6-35B-A3B-UD-IQ1_M.gguf,65536,65520,556.42,84.049,117.809717,0.96839,17.223,16.163,4.331,3.227
Q2,qwen36-35b-mtp-q2kxl,Qwen3.6-35B-A3B-UD-Q2_K_XL.gguf,2048,2067,833.051,121.045,2.484366,0.99415,18.347,17.287,4.317,3.213
Q2,qwen36-35b-mtp-q2kxl,Qwen3.6-35B-A3B-UD-Q2_K_XL.gguf,8192,8220,873.385,116.926,9.420443,0.99123,18.347,17.287,4.317,3.213
Q2,qwen36-35b-mtp-q2kxl,Qwen3.6-35B-A3B-UD-Q2_K_XL.gguf,32768,32745,717.117,98.956,45.692304,0.97688,18.347,17.287,4.317,3.213
Q2,qwen36-35b-mtp-q2kxl,Qwen3.6-35B-A3B-UD-Q2_K_XL.gguf,65536,65520,551.376,82.768,118.886222,0.97688,18.347,17.287,4.317,3.213
Q3,qwen36-35b-mtp-q3kxl,Qwen3.6-35B-A3B-UD-Q3_K_XL.gguf,2048,2067,749.271,99.509,2.761455,0.99415,22.337,21.28,4.461,3.359
Q3,qwen36-35b-mtp-q3kxl,Qwen3.6-35B-A3B-UD-Q3_K_XL.gguf,8192,8220,853.895,96.394,9.634677,0.98547,22.337,21.28,4.461,3.359
Q3,qwen36-35b-mtp-q3kxl,Qwen3.6-35B-A3B-UD-Q3_K_XL.gguf,32768,32745,700.114,83.86,46.799449,0.98547,22.337,21.28,4.461,3.359
Q3,qwen36-35b-mtp-q3kxl,Qwen3.6-35B-A3B-UD-Q3_K_XL.gguf,65536,65520,540.3,71.907,121.322191,0.98256,22.337,21.28,4.461,3.359
Q4,qwen36-35b-mtp-q4kxl,Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf,2048,2067,804.766,89.595,2.571246,0.99415,27.27,26.174,4.582,3.48
Q4,qwen36-35b-mtp-q4kxl,Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf,8192,8220,843.776,87.124,9.750235,0.99415,27.27,26.174,4.582,3.48
Q4,qwen36-35b-mtp-q4kxl,Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf,32768,32745,694.682,75.896,47.165434,0.97688,27.27,26.174,4.582,3.48
Q4,qwen36-35b-mtp-q4kxl,Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf,65536,65520,538.182,66.469,121.801583,0.98547,27.27,26.174,4.582,3.48
MXFP4,qwen36-35b-mtp-mxfp4moe,Qwen3.6-35B-A3B-MXFP4_MOE.gguf,2048,2067,830.18,89.867,2.492723,0.99123,27.237,26.13,4.578,3.451
MXFP4,qwen36-35b-mtp-mxfp4moe,Qwen3.6-35B-A3B-MXFP4_MOE.gguf,8192,8220,876.048,87.577,9.390973,0.99415,27.237,26.13,4.578,3.451
MXFP4,qwen36-35b-mtp-mxfp4moe,Qwen3.6-35B-A3B-MXFP4_MOE.gguf,32768,32745,716.166,77.591,45.751386,0.99123,27.237,26.13,4.578,3.451
MXFP4,qwen36-35b-mtp-mxfp4moe,Qwen3.6-35B-A3B-MXFP4_MOE.gguf,65536,65520,550.606,66.619,119.052093,0.97688,27.237,26.13,4.578,3.451
Q5,qwen36-35b-mtp-q5kxl,Qwen3.6-35B-A3B-UD-Q5_K_XL.gguf,2048,2067,770.449,85.26,2.686961,0.97688,31.682,30.585,4.577,3.475
Q5,qwen36-35b-mtp-q5kxl,Qwen3.6-35B-A3B-UD-Q5_K_XL.gguf,8192,8220,814.709,82.97,10.098229,0.98547,31.682,30.585,4.577,3.475
Q5,qwen36-35b-mtp-q5kxl,Qwen3.6-35B-A3B-UD-Q5_K_XL.gguf,32768,32745,674.499,73.909,48.577248,0.99415,31.682,30.585,4.577,3.475
Q5,qwen36-35b-mtp-q5kxl,Qwen3.6-35B-A3B-UD-Q5_K_XL.gguf,65536,65520,526.227,64.35,124.565175,0.98547,31.682,30.585,4.577,3.475
Q6,qwen36-35b-mtp-q6kxl,Qwen3.6-35B-A3B-UD-Q6_K_XL.gguf,2048,2067,760.855,81.286,2.719971,0.99415,36.938,36.087,4.554,3.454
Q6,qwen36-35b-mtp-q6kxl,Qwen3.6-35B-A3B-UD-Q6_K_XL.gguf,8192,8220,805.252,79.481,10.216139,0.99415,36.938,36.087,4.554,3.454
Q6,qwen36-35b-mtp-q6kxl,Qwen3.6-35B-A3B-UD-Q6_K_XL.gguf,32768,32745,666.326,71.088,49.170215,0.99415,36.938,36.087,4.554,3.454
Q6,qwen36-35b-mtp-q6kxl,Qwen3.6-35B-A3B-UD-Q6_K_XL.gguf,65536,65520,522.248,61.775,125.512854,0.97688,36.938,36.087,4.554,3.454
Q8,qwen36-35b-mtp-q8kxl,Qwen3.6-35B-A3B-UD-Q8_K_XL.gguf,2048,2067,775.613,69.208,2.66813,0.99415,43.666,42.573,4.554,3.452
Q8,qwen36-35b-mtp-q8kxl,Qwen3.6-35B-A3B-UD-Q8_K_XL.gguf,8192,8220,821.274,67.782,10.01687,0.99415,43.666,42.573,4.554,3.452
Q8,qwen36-35b-mtp-q8kxl,Qwen3.6-35B-A3B-UD-Q8_K_XL.gguf,32768,32745,683.263,61.39,47.953271,0.99123,43.666,42.573,4.554,3.452
Q8,qwen36-35b-mtp-q8kxl,Qwen3.6-35B-A3B-UD-Q8_K_XL.gguf,65536,65520,531.651,54.751,123.294843,0.98547,43.666,42.573,4.554,3.452
