arm,host,task,tg,prompt_tokens,generated_tokens,total_tokens,wall_seconds,decode_seconds,decode_timed_tokens,ttfp_ms,drafted,accepted,acceptance,source_row_sha256,source_raw_sha256
ciru,ciru,HumanEval/0,48.31786412567139,134,173,307,4.838482141494751,3.5597600000000003,172,1277.4052619934082,168.0,142.0,0.8452380952380952,308b1ac1922794c012363fde6e755e29b4dc21c396b828d336a09bfd90aa8a7c,878369cc7bd860b6eccaf815aa12ffd8e7ac8631e9c0f3c4b443f488d92bdfd2
ciru,ciru,HumanEval/1,51.90831598187388,126,232,358,5.363874673843384,4.450154,231,912.7552509307861,240.0,191.0,0.7958333333333333,dd3f22d83aad88b32af583909c5b3b88719e646017229e1065dc7cd4846606a6,19e81e7bbbb21653867a22085e2640aa8850aa67c8df799fb736f5480909c502
ciru,ciru,HumanEval/2,54.705218649920795,95,97,192,2.5220305919647217,1.7548599999999999,96,765.7349109649658,90.0,85.0,0.9444444444444444,775e35abbdc497fe1166e1267e0d79598f6196eed3d9930eebcd8ed5222689b2,87e6f4531319fb2b759cbf6eeb4efbdcbceeda80ddfa65c471e24fd958869f97
ciru,ciru,HumanEval/3,53.468531027514366,129,157,286,3.963998317718506,2.917604,156,1045.3417301177979,150.0,134.0,0.8933333333333333,6826ec3729db53d75f761b12cc15b094cc9bc7022019007b30e1d57d9efa6584,03f873bded4db80af843a9c7bd1aaf52aba01685d57899f139a7bfa4fd1802ee
ciru,ciru,HumanEval/4,54.25818563856878,128,169,297,4.23421049118042,3.096307,168,1137.6581192016602,174.0,143.0,0.8218390804597702,d7bc7a86eacf906e1224fffdadbcd7132a96cfeb557b1f9ad2cb3279565276de,c270d3ccc925039480c1cc183ed4cabe0b552f53948958e365a42f84218ac14a
ciru,ciru,HumanEval/5,58.10632622182793,104,154,258,3.363018274307251,2.633104,153,728.7065982818604,150.0,129.0,0.86,355b409b3b93588aa6b671ff9a86525fa37f470762a445d282e278dbd5f08240,392c25903e7c6b16041c7cd3eadbe51bc87cfa1ed6083770398d4d3a6077b0f3
ciru,ciru,HumanEval/6,53.17060299707462,124,214,338,4.871039628982544,4.005973,213,864.1481399536133,228.0,179.0,0.7850877192982456,dbb0c33e45fbfd190c31ce014de8d690344cad9be6d6206f0d56bf5df000ed4c,0a072dff6c49faa2f104647692e698303627507f49415fcb133015ae8e3e7b72
ciru,ciru,HumanEval/7,57.89457762515399,104,112,216,2.6527132987976074,1.917278,111,734.3668937683105,108.0,97.0,0.8981481481481481,738b259c6ff72bf5053f6e11e49fad6ce4a704b34bc2414f7b565c18720e56ac,48fff99263fde2549b25c30c494f9446e2fc4fddfa0b84f81f9ea70a001601f4
ciru,ciru,HumanEval/8,59.160037029800954,126,163,289,3.612841844558716,2.738335,162,873.7273216247559,144.0,139.0,0.9652777777777778,d5ddef478ec4cb786402c3ae8c7c4ac99101980f6ddca4428b547eed8e618d42,7e227a62ea25de2ce2d7572ee5e658ff6588d4563e7a630e123eeeb71306ccbc
ciru,ciru,HumanEval/9,63.62617841807931,110,162,272,3.288536310195923,2.530405,161,756.5736770629883,144.0,138.0,0.9583333333333334,332e6e4cb5dcac8391eaac4aecd258c33dd0e9c52a0a8a33a626584ce0aa258a,47564004c0aa6e5f9d0c2145841e241af3a53603a8aeb371f467d4e1c70e15c7
laurent,sozo,HumanEval/0,51.38822910784656,134,173,307,4.187466382980347,3.34707,172,839.6854400634766,141.0,138.0,0.9787234042553191,1d244b9eec248c34d4e6af026bd2e12e25f7b6f5c30d11bc626dafc591facbce,4c2f92b8b64cf54bd8ba8393fb29b899fa76ac1ae767ea3f78af21621dcc1996
laurent,sozo,HumanEval/1,50.25105779573845,126,230,356,5.316675186157227,4.557118,229,758.6872577667236,189.0,179.0,0.9470899470899471,d8f80d187efa86429b8c165427fe025f499cf288b0352da0c6cc477310d3d726,b68c347667658071bac3e0969267aafcc295967c9c91063d761b6cdb3ec9b845
laurent,sozo,HumanEval/2,52.61882811292439,95,97,192,2.524923086166382,1.824442,96,699.819803237915,77.0,76.0,0.987012987012987,6d5b1682c8ca6dd7d82681dbf9fa897fc4602cb326db985f478975b058c73f58,c5e9162cd6f7b9992b752d18660ea3a1b78279794e872aa2d867b46873123161
laurent,sozo,HumanEval/3,53.823724178068325,129,156,285,3.685530424118042,2.8797710000000003,155,804.9538135528564,125.0,124.0,0.992,ffb022aa71e2823be8fcd234b722b2617b455c21e7493eaee89e8caeb46debe4,253a1d870a8012736a68db4e624a63ed5ce95bb6557cd5bd75ed7a59f0804f63
laurent,sozo,HumanEval/4,53.903910504107444,128,169,297,3.8867573738098145,3.116657,168,769.22607421875,137.0,135.0,0.9854014598540146,63b5205e562556bc78a6d03e981c34f0a13943a83d74beb0e0cdb1de64735ec9,ba71ecd4b6fece9cfcd6583e0d82b6af508ce74d6c3844ae13aed7b13ca18330
laurent,sozo,HumanEval/5,50.11723977746563,104,146,250,3.6007049083709717,2.893216,145,706.507682800293,121.0,115.0,0.9504132231404959,f5d5befafa12c4f6e7455d62924431ad766bf020074bcc084fb8d2709fdb35cb,9dbf666a0df62c082f058f19a2c8b0e145731dd39817b3baa6e32148ae5033e0
laurent,sozo,HumanEval/6,49.674807421416226,124,225,349,5.269541263580322,4.509328,224,759.5314979553223,185.0,174.0,0.9405405405405406,4604080209b9319dc586ba45abdbb68595ee9e9e085afcc75dd5b97c5bdbc6c5,3b43ab2674aeda89c4787eba3456e8cdac3c72a73e196dfe73b0f7fa2dc516f7
laurent,sozo,HumanEval/7,55.18486681803561,104,112,216,2.7151055335998535,2.011421,111,702.9180526733398,89.0,89.0,1.0,514f697052aad230652a6cceef5edb0aa607007d54aba46e61dde3eb56bd59ff,ff119f13a75a6af098a8c126f8ffc6a2098777f642525bbb6807de450cd44475
laurent,sozo,HumanEval/8,55.52271033082282,126,163,289,3.6880714893341064,2.917725,162,769.6480751037598,129.0,129.0,1.0,3445ff594ef6836e851a15ff1c25efb2977d38270c2fe94cbeb98ffb2010ab5a,0752f9507b485a65242a4406cdbb87ab7eaea6504b50ee582990915dcb02e5c5
laurent,sozo,HumanEval/9,51.06007089690844,110,161,271,3.8532047271728516,3.133564,160,718.853235244751,132.0,123.0,0.9318181818181818,918f9f2c73129f5a61612098188da2deda700b5c55ef6b2567eaf0f306a30472,e879c15c250f03d6c629f30805d354b22592cf2479d788c5e236c1680c81168b
unsloth,sozo,HumanEval/0,47.711822771571605,134,176,310,5.169704914093018,3.6678539999999997,175,1500.9796619415283,118.0,118.0,1.0,014a76983335ed0af25f396053553f3d8f35f6aa9a12027bbff7945cf38412d9,6b3b388c924e5b4056d7a23f59cbcce13a9f6cf57128bb8282cd3d4cb09f2a8a
unsloth,sozo,HumanEval/1,45.590568345817104,126,239,365,6.693435192108154,5.220377999999999,238,1472.2495079040527,166.0,157.0,0.9457831325301205,88e8336a6a274b657f625ea003a1cd573f7828e8e225ca9718aca7985d0a8930,9a376737c901876380dc558d29c93e87c8924c15724ade0b8488c7b033ed13b4
unsloth,sozo,HumanEval/2,48.727353201234834,95,97,192,3.348337173461914,1.970146,96,1377.3281574249268,64.0,64.0,1.0,5ebd12df22d884fa7a3d6a31428323376702cf9f955b6e21902a88249d23fde9,4b6324baef7eb6888d90e311c93292160d296d8563a5640883cbfb33c1fb996b
unsloth,sozo,HumanEval/3,46.94618101845526,129,157,286,4.846970081329346,3.322954,156,1523.2126712799072,106.0,104.0,0.9811320754716981,dd8d095134cf462d41012d4c54dbe9164158e515c24f00acb74b1d926352aa0b,55c4cbdfc64f01c6652490f43eb642debd4e49de6ff4f83bb7997c74e1b3e44f
unsloth,sozo,HumanEval/4,47.97608049700935,128,169,297,4.992528200149536,3.501745,168,1489.9942874908447,112.0,112.0,1.0,9c546163ed2972f5654b69ac7dc55cc648b8aaa615e8ac5e2e812ce2a7d4b09b,32ec100e717cc15f80e2579fde800cb86f47eec841477921b0c59429475fc03d
unsloth,sozo,HumanEval/5,47.525042041383344,104,144,248,4.390758991241455,3.00894,143,1381.0350894927979,96.0,96.0,1.0,bed7889d7af036a353f52503ba0720fe97785b5ecad2de0502ab0b973ebe5f9a,ab2a8595456ed11058f157c097c09b47d5d292ec54c3e3fb0e5cfd77a862f424
unsloth,sozo,HumanEval/6,47.408898952026284,124,221,345,6.119290351867676,4.640479,220,1477.3871898651123,148.0,147.0,0.9932432432432432,b7fae971b81585cdf9fd07218e92bb15bac0b87909cf857b1ec06c7d4dbfd9ec,e4d2eaed658150177c766a1417603ba2d300a55c6de139a1363bfc9b9ab04ae8
unsloth,sozo,HumanEval/7,48.666216832986755,104,112,216,3.6730427742004395,2.280843,111,1391.6351795196533,74.0,74.0,1.0,a29c13ec79925f2bb84dc88dfd7198886ba0ed8f0ce67d18621fd006932cc5da,3da32a1c10ff3ef54861125842234df535e1cc52259352bfb802d06d157e8bc9
unsloth,sozo,HumanEval/8,48.632496233983545,126,163,289,4.811828136444092,3.331106,162,1480.2570343017578,108.0,108.0,1.0,b1ffe15f0bd685766414555daaac0bd4bd7c10e239fa571282b381e81caeccc0,cc1328ffc6bc46ebecbc30ad901a52043d8ac46a27b904754a01c019dc75d589
unsloth,sozo,HumanEval/9,47.616142467498264,110,161,271,4.725163459777832,3.360205,160,1364.046335220337,108.0,106.0,0.9814814814814815,3923b0e02ea75c233f59cdbf55a8b5d2483501b7a245d889b9daf99f49f90abd,96212c06046db62d72c2ddb17d58bd42204f45af6be68a17f5922f9e6e1f463b
