arm,workload,task,prompt_tokens,generated_tokens,pp,tg,ttfp_ms,total_ms,drafted,accepted,sanity,peak_ram_gib,idle_ram_gib,delta_ram_gib,peak_gtt_gib,peak_vram_gib,label,source_row_sha256,source_raw_sha256
ciru,sweep,,512,128,306.5260717785876,22.54527250488629,1671.9896793365479,7305.761814117432,,,,87.69890213012695,87.69820785522461,0.00069427490234375,83.7432975769043,0.15714645385742188,v2-ciru-rc2-no-mtp-pp512,473fb0da15e39b5a83b5bb67c70bbc5aeb83a00e93786a907b7eb88739d14b1b,e7185d638e0c37bd72c9ad349a8adadf35b7ed369e269d17b5985691619816a6
ciru,sweep,,2048,128,382.0255487047133,20.942985114154936,5364.029407501221,11428.162574768066,,,,87.91778945922852,87.69881820678711,0.21897125244140625,83.7436637878418,0.15746688842773438,v2-ciru-rc2-no-mtp-pp2048,bd259a73f6cd69f048c4269908915d19c26a1debd395f507e9631fe1bb3d44a8,a9ccac0bd0ebbcaf5c28d926d1881d1d30adbba564d1057bfc306983ef4bf5ec
ciru,sweep,,8192,128,370.40756452549965,19.19183920684209,22118.80850791931,28736.945390701294,,,,88.12487411499023,87.68673706054688,0.4381370544433594,83.74387741088867,0.15746688842773438,v2-ciru-rc2-no-mtp-pp8192,da000c4648ae584c75dbc4336187587ee55e69de74bb8acd31a44ccfac4e9c72,004a8ef9965ca1c6548f1ead1dc8dcb46e699d5e683ca5a6e5a4f3d5fab5b76b
ciru,sweep,,16384,128,352.1295823107842,17.472675212409946,46532.26041793823,53801.73420906067,,,,88.42057037353516,87.90470886230469,0.5158615112304688,83.74387741088867,0.15746688842773438,v2-ciru-rc2-no-mtp-pp16384,6f23c195db77cb88ddc4731f3981eec2d0ddb02db483eda3dc574cc78c9f2467,4904535ad05beae3366bd04f815587b01a5926a930809fc9dbfefb62d974c152
ciru,sweep,,32768,128,321.33055955606176,14.323446658864336,101982.33151435852,110850.14271736145,,,,88.51506423950195,88.20817565917969,0.3068885803222656,83.74387741088867,0.1574554443359375,v2-ciru-rc2-no-mtp-pp32768,086960f2abb3b29f56ffffb3693a5243e423fd08be8c933516b9f12c174e2b5c,acb5b3fb6f76b31c31ca6a42cb3674ece7373254a82754fb4ecc534b193d6e4d
ciru,sweep,,65536,128,282.9922226883487,10.165215161986707,231594.47526931763,244090.87371826172,,,,88.8564224243164,88.29602432250977,0.5603981018066406,83.79270553588867,0.15748977661132812,v2-ciru-rc2-no-mtp-pp65536,803b8e4cf5a82d1ae7ccc12fb1556dab4bf3ceb6e00aff90dcad2d8fbd04cb97,ac7bfde237162b53d1d57f2a58aaefaa791d467566cba0fe7e270338724cbe2a
ciru,sweep,,131072,128,232.95215096846331,6.748802247021679,562672.7845668793,581497.358083725,,,,90.06446075439453,88.6485366821289,1.415924072265625,83.82590866088867,0.15749740600585938,v2-ciru-rc2-no-mtp-pp131072,a7566b16fdc3740f078a69e74e558ae6b548c8624a799308da02447ec0427fcf,6bc32148916d08c2feee98b09be62b36bad843f1df5eab9bf702dd6c1336ec5a
agention,sweep,,512,128,357.62781003257766,25.932868583656983,1433.5122108459473,6331.249713897705,,,,97.41737747192383,97.2657356262207,0.151641845703125,94.40378189086914,0.488311767578125,agention-card-ladder-pp512,775a400e7c22fa92d91edf847405c2c51a0ed18661efe85a8fd6255a99bc6086,6febe5d187916fe64790b491cc456c7dadc432d26f2ffc9916e987dba8c8620b
agention,sweep,,2048,128,363.83333235624184,25.58463922435432,5631.121873855591,10595.957040786743,,,,97.5421028137207,97.31533813476562,0.22676467895507812,94.40787124633789,0.488311767578125,agention-card-ladder-pp2048,dadbba441f5daa39776c0bd59e0594e8cb76de2a4c98c1288687b0dcf45e66af,b59f04d0ef7fbde95fb2a97a8004ca6b32dcdfa1834a5c75fcc77899cd7a3e24
agention,sweep,,8192,128,325.5891187734956,24.953315686558064,25164.159536361694,30255.13529777527,,,,97.55394744873047,97.33679962158203,0.2171478271484375,94.40787124633789,0.4854316711425781,agention-card-ladder-pp8192,102a59f7add6c625a184371d644d79a444d8f83387995f3735c1b49cad9c5447,6c4d7d5185fefd323d4ee9896943a7223df04c4334454af249a111bec92b8c38
